AD_Type,price,surface,adress,image_link
Terrain,1 500 000 000,1016,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5614525_uploaded_image1_1762784342.jpg
Terrain,7 000 000,1000 m2,"Thies, Sénégal",https://images.coinafrique.com/thumb_5613220_uploaded_image1_1762714301.jpg
Terrain,2 500 000,300,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5612358_uploaded_image1_1762638115.jpg
Terrain,34 000 000,226,"Saly, Sénégal",https://images.coinafrique.com/thumb_5612022_uploaded_image1_1762613490.jpg
Terrain,375 000 000,300 m2,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5611934_uploaded_image1_1762608843.jpg
Terrain,Prix sur demande,150,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5610444_uploaded_image2_1762521308.jpeg
Terrain,180 000 000,219 m2,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5609656_uploaded_image1_1762482064.jpg
Terrain,15 000 000,150,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5609414_uploaded_image1_1762465127.jpg
Terrain,90 000 000,165 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5608772_uploaded_image1_1762437965.jpg
Terrain,28 000 000,150 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5608239_uploaded_image1_1762423177.jpg
Terrain,300,300 m2,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5607665_uploaded_image1_1762386189.jpg
Terrain,9 000 000,2400 m2,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5607646_uploaded_image2_1762385052.jpeg
Terrain,18 000 000,400,"Saly, Sénégal",https://images.coinafrique.com/thumb_5607221_uploaded_image1_1762364883.jpg
Terrain,Prix sur demande,NAN ,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5562956_uploaded_image1_1759842810.jpg
Terrains,12 500 000,150,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5566173_uploaded_image1_1760015170.jpg
Terrain,20 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5606580_uploaded_image1_1762344441.jpg
Terrains,4 500 000,180,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5565978_uploaded_image1_1760008804.jpg
Terrain,7 500 000,150 m2,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5605380_uploaded_image1_1762276864.jpg
Terrain,90 000 000,165 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5605179_uploaded_image1_1762267897.jpg
Terrain,300 000 000,357 m2,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5604902_uploaded_image1_1762257602.jpg
Terrain,250 000 000,330,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5604756_uploaded_image1_1762253528.jpg
Terrain,65 000 000,160 m2,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5604584_uploaded_image1_1762249526.jpg
